,loss,acc,val_loss,val_acc
0,1.193459988,0.353932589,0.999772906,0.5182482
1,1.084030509,0.404494375,0.953634322,0.613138676
2,1.023232937,0.471910119,0.787755907,0.7591241
3,0.876777828,0.595505595,0.682122767,0.795620441
4,0.887106419,0.567415714,0.577222824,0.81021899
5,0.820037603,0.601123571,0.543808401,0.875912428
6,0.732717335,0.688202262,0.499243677,0.875912428
7,0.692285061,0.702247202,0.460397989,0.919708014
8,0.61749959,0.73595506,0.427306443,0.919708014
9,0.66266638,0.727528095,0.399379343,0.941605866
10,0.58631891,0.775280893,0.386477083,0.919708014
11,0.515633821,0.789325833,0.373611122,0.912408769
12,0.513929546,0.820224702,0.333205074,0.94890511
13,0.475482225,0.845505595,0.333756745,0.934306562
14,0.475593269,0.856741548,0.341195494,0.905109465
15,0.471800297,0.820224702,0.301998228,0.934306562
16,0.426664531,0.876404524,0.275543422,0.956204355
17,0.411592454,0.8679775,0.264693409,0.94890511
18,0.38873896,0.865168512,0.269309133,0.934306562
19,0.342054218,0.896067441,0.23472099,0.956204355
