,loss,acc,val_loss,val_acc
0,1.155563474,0.379213482,1.09866643,0.37956205
1,1.088460803,0.435393244,1.024071097,0.452554733
2,1.014962673,0.483146071,1.009767532,0.408759117
3,0.992402256,0.494382024,0.978558958,0.452554733
4,0.905374527,0.578651667,0.843748987,0.627737224
5,0.824958444,0.629213512,0.759220183,0.729927003
6,0.784166932,0.634831488,0.698030353,0.744525552
7,0.698414385,0.721910119,0.675353706,0.700729907
8,0.6426543,0.721910119,0.508489251,0.919708014
9,0.613859653,0.727528095,0.551992297,0.854014575
10,0.635880828,0.741573036,0.462300062,0.912408769
11,0.569647431,0.769662917,0.465616047,0.919708014
12,0.543043613,0.786516845,0.454648107,0.912408769
13,0.484342635,0.80898875,0.448379397,0.919708014
14,0.505996466,0.79494381,0.443394959,0.905109465
15,0.497105032,0.803370774,0.407171637,0.941605866
16,0.460425228,0.848314583,0.388523877,0.934306562
17,0.442250013,0.851123571,0.360602111,0.927007318
18,0.401061028,0.870786488,0.351859778,0.941605866
19,0.372209996,0.876404524,0.345145255,0.941605866
