,loss,acc,val_loss,val_acc
0,1.0998796224594116,0.3904494345188141,0.7281854152679443,0.7007299065589905
1,0.8995328545570374,0.6376404762268066,0.5836485624313354,0.8029196858406067
2,0.6604719758033752,0.7612359523773193,0.49755147099494934,0.7591241002082825
3,0.4465033710002899,0.8651685118675232,0.4244146943092346,0.7810218930244446
4,0.32471179962158203,0.915730357170105,0.36852025985717773,0.8102189898490906
5,0.2657870948314667,0.9269663095474243,0.33256253600120544,0.8540145754814148
6,0.1901661902666092,0.966292142868042,0.2462654709815979,0.9051094651222229
7,0.1593732386827469,0.9691011309623718,0.22340139746665955,0.9416058659553528
8,0.12798672914505005,0.9691011309623718,0.1756420135498047,0.9635036587715149
9,0.10918229073286057,0.9775280952453613,0.21954257786273956,0.8978102207183838
10,0.09471485018730164,0.9859550595283508,0.2001388520002365,0.956204354763031
11,0.08887293189764023,0.983146071434021,0.1885804831981659,0.8978102207183838
12,0.06787499785423279,0.9859550595283508,0.19922584295272827,0.9416058659553528
13,0.05137418955564499,0.9887640476226807,0.17741329967975616,0.9124087691307068
14,0.05300125479698181,0.9887640476226807,0.153311088681221,0.956204354763031
15,0.03932836651802063,0.9943820238113403,0.16748066246509552,0.9416058659553528
16,0.033105846494436264,0.9971910119056702,0.1424494832754135,0.956204354763031
17,0.024021942168474197,1.0,0.15998326241970062,0.9416058659553528
18,0.029669051989912987,0.9971910119056702,0.15482164919376373,0.9489051103591919
19,0.029494335874915123,0.9915730357170105,0.11724797636270523,0.9416058659553528
